გამოსხივება	გამო სხივ ებ ა
ქუსლებთან	ქუსლ ებთან
სანდინოს	სან დინოს
ფანი	ფან ი
აბულაძე	ა ბულ აძე
გეის	გე ის
დაუღალავად	და უღალ ავად
ბრიუს	ბრიუს
მიმართვის	მი მარ თვის
პატიებას	პატი ებას
პირველში	პირველ ში
ფანჯრისას	ფანჯრ ისას
დაამტკიცეს	და ა მტკიც ეს
ჩამოყალიბდნენ	ჩამო ყალიბ დნენ
ქვეყნებიდან	ქვეყნებ იდან
ფარს	ფარს
კალთაზე	კალთ ა ზე
ბაგრატმა	ბაგრატ მა
გაასახლეს	გა ას ახლეს
ნიდერლანდის	ნიდ ერლანდ ის
სანდერლენდში	სანდერ ლენდ ში
ქვევრი	ქვევრი
თვითმყოფადობის	თვითმ ყოფა დ ობის
პერეს	პერეს
მამაკაცთა	მა მ ა კაც თა
შეფასების	შე ფასებ ის
ტორპედოში	ტორპე დ ოში
ქარჩოხის	ქარ ჩოხ ის
გამავრცელებელ	გა მა ვრცელებ ელ
გამოცემაც	გამო ცემ აც
რეფლექსები	რეფლ ექს ები
სამრეკლო	სა მრეკლო
ეკლესიასა	ეკლეს ი ას ა
ინტერესებში	ინტერეს ებში
მხედველობა	მ ხედველობ ა
დაიქირავა	და ი ქირავ ა
ვაკანსიაზე	ვაკან სი აზე
სენაკები	სენაკ ები
უმდიდრესი	უ მდიდრ ესი
იუსტინიანეს	იუსტი ნიან ეს
ჰუკის	ჰუკ ის
მორიაში	მორი აში
სოფელთან	სოფელ თან
ჩეჩნეთში	ჩეჩნეთ ში
უფლებამოსილებით	უფლებ ამოსილ ებით
აქტები	აქტ ები
რელიგიაში	რელიგი აში
დახვრეტის	და ხვრეტ ის
კოლექტივთან	კოლე ქტივ თან
ურთიერთობებზე	ურთიერთობ ებზე
საპატარძლოს	სა პატარ ძლო ს
ბაზაზეც	ბაზა ზეც
თაღები	თაღ ები
არიენი	არი ენი
გადაურჩება	გადა უ რჩება
მიზნით	მიზნ ით
მოხვდებიან	მო ხვდებ იან
დართ	დართ
პიესის	პიეს ის
ეკლესიებს	ეკლეს ი ებს
დაიტბორა	და ი ტბორ ა
შემთხვევის	შე მთხვევ ის
საქარავნო	სა ქარავნ ო
გატანის	გა ტანის
თეატრმა	თეატრ მა
აზევებული	აზევ ებულ ი
აბრაამ	აბრაამ
უსჯულოებმა	უ სჯულ ო ებმა
კმ	კმ
კენჭი	კენჭ ი
ფილიმონ	ფილი მონ
რელიგიურმა	რელიგი ურმა
ცხოველური	ცხოველ ური
საფასური	სა ფას ური
ფურცლის	ფურცლ ის
გუმბათით	გუმბათ ით
გამოვლინებაა	გამო ვლინ ება ა
განწყობას	გან წყობ ას
ნაშრომზე	ნა შრომ ზე
კლასიფიცირება	კლასიფიც ირება
გმირები	გმირ ები
გამოსაშვებ	გამო ს ა შვებ
დედამისს	დედა მისს
ბიგ	ბიგ
კარპატების	კარპატ ების
ლარსი	ლარს ი
ნაწარმოების	ნა წარმო ების
სოფია	სოფი ა
ოპერაციები	ოპერ აც ი ები
თეოდორიხ	თეოდო რიხ
პალესტინაში	პალესტი ნა ში
რუსულად	რუს ულად
მოქანდაკე	მო ქანდაკ ე
განმათავისუფლებელ	გან მა თავისუფ ლ ებელ
აღმოსავლეთისაკენ	აღმოსა ვლეთ ის აკენ
გახანგრძლივება	გა ხანგრძ ლივ ება
მინოსის	მინ ოს ის
გაუკეთებია	გაუ კეთებ ია
შენობაა	შე ნობა ა
ჩამოვარდა	ჩამო ვარდ ა
ეკო	ე კო
უროშ	ურ ოშ
გაფრთხილება	გა ფრთხი ლება
ბასის	ბას ის
აშენდება	აშენ დება
თომასი	თომას ი
გამოფენებს	გამო ფენ ებს
მიგრაციული	მი გრაცი ული
ასახულია	ა სახულ ია
კანდიდატს	კანდიდა ტს
გამოსახულებებია	გამო სახულ ებ ები ა
გაენადგურებინათ	გაენა დგურ ებინათ
მაჟორიტარული	მაჟორ ი ტარულ ი
ვებსაიტი	ვებ საიტ ი
განშტოებაზე	გან შტო ებაზე
ზამთრითა	ზამთრ ით ა
მიმზიდველს	მი მ ზიდველ ს
საჯარიმოში	სა ჯარი მო ში
სათაურს	სათაურ ს
სანატორიუმი	სა ნა ტორი უმი
რითმული	რითმ ული
მეორეჯერ	მეორე ჯერ
გურულების	გურულ ების
აგნესა	აგნე სა
ნახშირბადი	ნახშირ ბადი
მეორად	მეორ ად
ყელისა	ყელ ისა
შეყვანის	შე ყვან ის
ასლების	ას ლების
ღონისძიებები	ღონისძიე ბები
საგანი	სა გან ი
საშინლად	სა შინ ლად
დარიოსის	და რიოს ის
საძიებლად	სა ძიებ ლად
პაპმა	პაპ მა
ხასიათისა	ხასიათ ისა
აწყობს	ა წყობ ს
კურთხეულ	კურთხ ეულ
საჩუქრების	სა ჩუქრ ების
უკავშირებენ	უ კავშირ ებენ
ჩამომიტანა	ჩამო მი ტანა
ბელორუსია	ბელორუს ია
მოსამზადებელ	მოს ამზად ებელ
ხარების	ხარებ ის
ხტება	ხტ ება
ადამიანისაგან	ად ამიან ის აგან
სენ	ს ენ
გარნიზონი	გარნი ზონ ი
ლეჟავა	ლეჟავა
ლინის	ლინ ის
პიროლიზის	პირ ოლიზის
ფორდის	ფორდ ის
ორდენებითა	ორდენ ები თა
ფრონტს	ფრონტ ს
ქსოვა	ქსოვ ა
თავდასხმისაგან	თავდასხ მისა გან
სპეც	სპეც
რობენის	რობენ ის
სიგარეტში	ს ი გარე ტში
შესამცირებლად	შესა მცირ ებლად
მარცვლის	მარ ცვლ ის
ჰილში	ჰილ ში
პლატოს	პლატ ოს
ბევრნი	ბევრ ნი
გაბი	გაბი
ამთავრებენ	ა მთავრ ებენ
ჯორჯიის	ჯორჯ ი ის
მეორეს	მეორე ს
დაიბარეს	და ი ბარე ს
ანდრონიკოვი	ანდრო ნი კოვი
ამისათვის	ა მისა თვის
გაჩენილი	გა ჩენილ ი
პოტენციალი	პოტენ ცია ლი
თეირანში	თეირან ში
ბრიტანელების	ბრიტან ელ ების
ტემპერამენტის	ტემპერ ა მ ენტი ს
მანსურ	მან ს ურ
წყალსაცავში	წყალსაცავ ში
შეუქმნიდა	შე უქმნი და
ხურავს	ხურ ავს
შთაბეჭდილების	შთაბეჭდი ლების
პისაროს	პისარო ს
ალიზის	ალიზ ის
თარგმანები	თარგმ ა ნები
გასროლით	გა სროლ ით
განსასვენებელი	გან სა სვენ ებელი
ტაილერი	ტაილ ერი
გაუარესების	გა უარეს ების
ცნობენ	ცნობენ
ბუმი	ბუ მ ი
პოზნანის	პოზ ნა ნის
ადგილებით	ადგილ ებით
გამხდარიყო	გა მხდარ იყო
მელნის	მელ ნის
მომწამვლელი	მომ წამვლ ელი
სანაოსნო	ს ანაოსნო
კოპენჰაგენის	კ ოპენჰა გენი ს
გაცნობა	გა ცნობ ა
თევზს	თევზ ს
პატარებს	პატარ ებს
ტექნოგენური	ტექნ ოგენურ ი
აგვისტოში	ა გვისტ ო ში
ჩაკეტეს	ჩაკეტ ეს
თაქთაქიშვილის	თაქთაქი შვილი ს
ბრიუსის	ბრიუს ის
ტელური	ტე ლურ ი
დასტურლამალი	და სტურ ლამა ლი
იფეთქა	ი ფეთქ ა
ფრაიბურგის	ფრ ა ი ბურგ ის
ჯდომა	ჯდომ ა
ნიკოს	ნი კოს
ჭრელი	ჭრელ ი
ჯაიანთსის	ჯაიანთს ის
გამომცემლობამ	გამო მცემლ ობამ
კოჭლი	კოჭ ლი
წამით	წამ ით
გენერალმა	გენერ ალმა
ჩამოყალიბდა	ჩამო ყალიბ და
პერუს	პერუ ს
ნოველა	ნოველ ა
წერილიდან	წერილ იდან
საშობაო	სა შობა ო
შეტანილი	შე ტანილ ი
პანიპატის	პან ი პატი ს
ბიჭებს	ბიჭ ებს
ბანაკებს	ბანაკ ებს
უთმობენ	უთმ ობენ
დრამების	დრამ ების
მოიცავენ	მო იც ავენ
შემოკლ	შე მოკლ
ბიოგრაფის	ბიოგრაფი ს
განსასაზღვრად	გან სა სა ზღვრ ად
დახრილ	დახრი ლ
გამოსახულებებს	გამო სახულ ებ ებს
დასცინის	და ს ცინ ის
მეტალთა	მეტალ თა
ერექტუსის	ერექტ უსის
შესადგენად	შესა დგენ ად
წყალგამყოფზე	წყალგამყოფ ზე
სარდლობდნენ	სარდლ ობდნენ
სარწმუნოებაზე	სა რწმუნ ო ებაზე
წერტილამდე	წერტილ ამდე
სივრცეა	სივრც ე ა
კუდზე	კუდ ზე
მელიქი	მელიქ ი
ნაყოფიერების	ნა ყოფიერ ების
გააქრისტიანა	გა ა ქრისტია ნა
სააბატოს	სა აბატო ს
შეგნების	შეგნ ების
პიროსი	პიროს ი
შეუერთდება	შე უერთდ ება
პრიალა	პრიალ ა
ქვეჟანრი	ქვე ჟანრ ი
ხელსაწყოების	ხელსაწ ყო ების
ჯორი	ჯო რი
წესდება	წეს დება
უშვებენ	უშვ ებენ
აგროვებენ	აგროვ ებენ
პლატონის	პლატონ ის
საშუალო	სა შუალ ო
მიზიდულობის	მ იზიდ ულ ობის
მეგობარია	მე გობარ ია
ასაკისაა	ასაკ ი სა ა
კუჭი	კუჭ ი
ტანბრეცილი	ტან ბრეც ილი
აგვირგვინებს	აგ ვირგვინ ებს
გულგრილი	გულ გრილ ი
წარმომადგენლებით	წარმომადგენ ლებით
გადმოგვცემენ	გადმო გვ ცემენ
მურის	მ ურის
პოლონეთს	პოლონ ეთს
მილუოკი	მილუოკ ი
საჰარის	სა ჰარ ის
სამნი	სამ ნი
არსებით	არსებ ით
ცნობებით	ცნობ ებით
აჯანყებულმა	აჯანყ ებულ მა
ბიძაშვილები	ბიძაშვილ ები
განათლებით	გა ნათლ ებით
კაცნი	კაც ნი
ექადიის	ექადი ის
ტიჩინოს	ტი ჩინო ს
მარტყოფის	მარტ ყოფ ის
ლამაზია	ლამაზ ია
გადმოსახლდნენ	გადმო სახლ დნენ
ავსტრალოპითეკ	ავსტრა ლო პითეკ
მაღალშემოსავლიანი	მაღალ შემო სავლ იანი
აღებული	ა ღებულ ი
ცხელა	ც ხელ ა
ჭავჭავაძის	ჭავ ჭავაძ ის
ჯოზეფ	ჯოზეფ
ბებიაჩემთან	ბები ა ჩემ თან
კოლინზი	კოლინზ ი
პარალელურ	პარალელ ურ
ტანსაცმლის	ტანსაცმ ლის
ეიკონი	ეიკონ ი
გმირს	გმირ ს
დუშანის	დუშან ის
გარბომ	გარბო მ
მდელოები	მდელო ები
აღნიშვნისთვის	აღ ნიშვნ ის თვის
რეინოლდსი	რეინოლდს ი
სსრკს	სსრკ ს
ჯგუფები	ჯგუფებ ი
მოვლენებს	მოვლენ ებს
წყალბადი	წყალ ბადი
კვაზიმოდოს	კვაზიმო დოს
ყუთს	ყუთ ს
იუწყებოდა	ი უწყ ებოდა
თიხა	თიხ ა
გაიჩინა	გა ი ჩინა
შმიდტი	შმიდტ ი
აფრიკანუსი	აფრიკ ან უსი
მამასახლისი	მამა სახლ ის ი
შეჯამებულია	შე ჯამ ებულ ია
მიახლოება	მიახლო ება
მოკავშირეებთან	მოკავშირ ე ებთან
ჯოუნსი	ჯოუნ ს ი
მანჩესტერი	მა ნჩესტერ ი
საღი	ს აღი
დანარჩენები	დანა რჩენ ები
კიროსმა	კიროს მა
ოქსფორდი	ოქს ფორდ ი
იტალიამ	იტალი ამ
მთიულეთში	მთიულ ეთში
ნაწარმს	ნა წარ მ ს
იარაღს	ი არაღ ს
უღელტეხილს	უღელ ტეხილ ს
ცერემონიებში	ცერემონი ებში
ლიდერია	ლიდერ ი ა
ფუნქციებით	ფუნქცი ებით
ტასმანის	ტასმანი ს
სიღრმით	სიღრმ ით
ალეურის	ა ლე ური ს
ჩარიცხეს	ჩა რიცხ ეს
მხატვრებს	მხატვ რ ებს
ფილმისათვის	ფილმ ისათვ ის
უკმაყოფილონი	უ კმაყოფილ ონი
მოვლენებამდე	მოვლენ ებამდე
შესაცვლელად	შესა ცვლელ ად
მცირერიცხოვანი	მცირე რიცხოვან ი
ხშირი	ხშირ ი
ამოვარდა	ამო ვარდა
მისთვის	მი სთვის
შესულიყო	შე სულ იყო
საპოვნელად	სა პოვნ ელად
ტამპლიერთა	ტა მპლი ერთ ა
ჯიშების	ჯიშ ების
რივერ	რივერ
გარესამყაროს	გარე სა მყარო ს
ლიბანის	ლიბან ის
სტივი	ს ტივი
უსაფრთხო	უსა ფრთხო
საზოგადო	ს ა ზოგად ო
შემოსულმა	შემო სულ მა
გამოდგა	გამო დგა
საბჭოელებმა	საბჭო ელებმა
მუჰაფაზაში	მუჰა ფაზ აში
ინტერიერში	ინტერ იერ ში
წევრის	წევრ ის
მადლით	მადლ ით
დაიანა	და ია ნა
პატიმრების	პატიმრ ების
ჰომო	ჰო მო
ბრძანა	ბრძანა
ტყით	ტყ ით
ბერლინში	ბერლინ ში
მცირეს	მცირე ს
ჩავაცვა	ჩა ვაც ვა
ადამიანიდან	ად ამიან იდან
კალიგრაფიის	კალი გრაფ ი ის
დამრეც	დამრეც
ყურესთან	ყურე სთან
მწერების	მწერ ების
კონცხის	კონ ცხ ის
მამაცობისთვის	მამაც ობის თვის
რაგბიში	რაგბ ი ში
სუსანა	ს უსა ნა
შემოიკრიბა	შემო იკრიბ ა
მასიურად	მა სი ურად
ტუნისში	ტუნის ში
გადაღების	გადა ღებ ის
ხაზში	ხაზ ში
კოლინზმა	კოლინზ მა
ექსპედიციაში	ექსპე დიცი აში
სქელ	სქელ
ნიცა	ნიც ა
სმაუგი	სმაუგ ი
აივანზე	ა ი ვან ზე
შეკვეცა	შე კვეცა
ფრანსისკო	ფრანს ის კო
რომისთვის	რო მ ის თვის
წავიღებ	წავი ღებ
ხეობის	ხეობ ის
ფილმებსა	ფილმ ებს ა
ნეიტრალიტეტს	ნეიტრალიტეტ ს
ეთანხმებოდა	ე თანხმ ებოდა
სადესანტო	სა დესანტ ო
ბელას	ბელ ას
რედუცირებულია	რედ უც ირებულ ია
დაგეგმვას	და გეგმ ვას
ვილაპარაკებთ	ვილ აპარაკ ებთ
მთავრობები	მთავრ ობები
გამოსახულებები	გამო სახულ ებ ები
თითის	თით ის
შაიოს	შა ი ოს
ჩამოწერილი	ჩამო წერილ ი
დასრულებულა	და სრულ ებულ ა
მიმდინარეობისას	მი მ დინარეობ ისას
ფიფა	ფიფა
ზომიერად	ზომიერ ად
ომებს	ომ ებს
ემისია	ე მის ია
კორეელი	კორე ელი
კოალიციაში	კოალიც იაში
ვერსიებით	ვერსი ებით
ლაოსს	ლაოს ს
დარელის	დარ ელის
უხსნად	უხსნ ად
კლივლენდის	კლივლენდ ის
ქიქოძე	ქიქოძ ე
ჩირქოვანი	ჩირქ ოვანი
თევზების	თევზ ების
დინება	დი ნება
ნაწარმოებების	ნა წარმო ებ ების
ხვდებოდნენ	ხვდებ ოდნენ
თებეს	თ ებ ეს
ჰყოლიათ	ჰყოლ იათ
იაგუარის	ია გუ არის
გახმაურებული	გა ხმაურ ებულ ი
სანსკრიტის	სა ნსკრიტ ის
ასოცირდებოდა	ასოცირდ ებოდა
კბილები	კბილ ები
სათავგადასავლო	სა თავ გადა სა ვლო
ტეხასში	ტეხ ას ში
ნიჰონშოკი	ნიჰონშოკი
მკურნალობას	მკურნალ ობას
ნოლდორებმა	ნოლდორ ებმა
მიცვალებულთა	მი ცვალებულ თ ა
გათავისუფლებას	გა თავისუფ ლებ ას
სამუშაოდ	სა მუშაო დ
ჭელიძე	ჭ ელიძე
ხორვატულ	ხორვატ ულ
ჩამოყალიბებული	ჩამო ყალიბ ებულ ი
შეწყვეტას	შე წყვეტ ას
ბრიჯზე	ბრიჯ ზე
ქანდაკებას	ქანდაკ ებას
რიცხვებში	რიცხვ ებში
გადაშენებული	გადა შენებ ული
მამას	მა მა ს
მეი	მე ი
მკითხაობა	მ კითხ ა ობა
სხვანი	სხვა ნი
ელექტროტექნიკის	ელექტრ ო ტექნიკ ის
პრიმატების	პრიმ ატ ების
სროლა	სროლ ა
სახეობებისაგან	სახეობ ების აგან
გზავნიდა	გზავნ ი და
კვიპროსზე	კვიპ როს ზე
წყვილის	წყვილ ის
შემთხვევითი	შე მთხვევ ითი
აღსანიშნად	აღსა ნიშნა დ
განმსჭვალული	გან მსჭ ვალ ული
ანტიპაპი	ანტი პაპ ი
არჩილმა	არჩილ მა
ხოსრო	ხოსრო
რესპუბლიკელების	რეს პუბლიკ ელ ების
ცირკულაცია	ცირკ ულ აცია
ინარჩუნებენ	ი ნარჩუნ ებენ
მოლეკულების	მო ლეკულ ების
მოძრაობიდან	მო ძრაობ იდან
მყინვარმა	მყინვარ მა
შემოზღუდული	შემო ზღუდ ული
სამყოფელი	სა მყოფელი
იბრუნებს	ი ბრუნ ებს
შენახული	შე ნახულ ი
ჩაედინება	ჩა ედინ ება
უბნის	უბნ ის
ფიზიკოსების	ფიზი კოს ების
ღარიბთა	ღარიბ თა
ომები	ომ ები
ჰასანი	ჰასან ი
უარი	უ არი
თქვენთვის	თქვენ თვის
ფიზიოლოგიაში	ფიზი ოლოგი აში
მარქსიზმის	მარქს ი ზმის
მწვრთნელებს	მწვრთნელ ებს
დამალული	დამალ ული
რეიჩელ	რეიჩ ელ
ოკუპაციის	ოკუპა ციის
ათწლეულებში	ათწლეულ ებში
სასოწარკვეთილ	სასოწარ კვეთ ილ
წერის	წერ ის
გამოწეული	გამო წეულ ი
გაათავისუფლეს	გაა თავისუფ ლეს
დაჰკრავს	და ჰ კრავს
ეთიკურ	ეთ იკურ
ყლორტები	ყლორტ ები
თანაგუნდელ	თან ა გუნდ ელ
სამკუთხედების	სამ კუთხ ედ ების
ტროელი	ტრო ელი
ხუთი	ხუთ ი
იუგოსლავიელები	ი უგოსლავ ი ელ ები
ბედნიერების	ბედნიე რ ების
დანაშაულში	და ნაშა ულში
მოხიბლა	მო ხიბლ ა
ფეხბურთელი	ფეხბურთ ელი
კეისართან	კეის ართან
გაჰყვა	გა ჰყვა
შესახებაც	შე სახ ებაც
თარაზული	თარაზ ული
უახლესი	უ ახლეს ი
კვართის	კვართ ის
ორგვარია	ორ გვარ ია
ოსკარი	ოსკარ ი
მაკედონური	მა კედონ ური
ფრანგი	ფრანგ ი
ძველეგვიპტური	ძველ ეგვიპტურ ი
ევროპულ	ევროპ ულ
მრგვალ	მ რგვალ
ამოვსებული	ა მოვს ებულ ი
ამფორები	ამ ფორ ები
დაპყრობილ	და პყრობ ილ
ნერვებს	ნერვ ებს
პარტიზანების	პარტი ზან ების
ეკუთვნიან	ე კუთვნ იან
დატოტვილი	დატოტვ ილი
მეტიც	მეტ იც
საფეხურს	სა ფეხურ ს
ჯავის	ჯავ ის
პერმული	პერმ ული
გაუგებრობა	გა უგებრ ობა
აგზავნის	ა გზავნ ის
ალკკ	ალ კკ
ესენია	ეს ენ ია
გეგმით	გეგმ ით
ფესვი	ფესვ ი
ცათამბჯენის	ცათამ ბჯენ ის
კომისართა	კომ ის ართა
მითოლოგიით	მით ოლოგი ით
უხსნის	უხსნ ის
აბდულმეჯიდ	აბდულ მე ჯი დ
სიქსერსმა	ს ი ქსერს მა
ურთიერთდახმარების	უ რთიერთ და ხმარ ების
ბატკანი	ბატ კანი
კაპიტალის	კაპიტ ალის
ხაზთა	ხაზ თა
ტონების	ტონ ების
ფაკულტეტზე	ფაკულტ ეტ ზე
მიაშურა	მი ა შურ ა
პაქტის	პაქტ ის
არაორგანულ	არა ორგან ულ
მივლინებული	მი ვლინ ებულ ი
მეციხოვნეები	მე ციხ ოვნ ეები
შენობად	შე ნობ ად
გედების	გ ედ ების
გადმოწერა	გადმო წერა
იაა	ია ა
ნოოსფერო	ნო ო სფერო
კარზე	კარ ზე
გერმანიკული	გერმან ი კული
გაერთიანებასთან	გა ერთიან ებ ასთან
დაქუცმაცება	და ქუცმ აც ება
წუთსა	წუთ სა
ქანთრის	ქანთრი ს
წყლულოვანი	წყლ ულ ოვანი
ობიექტებად	ო ბიექტ ებად
ქირის	ქირ ის
კუდისა	კუდ ისა
ორსულ	ორსულ
კვებისა	კვებ ისა
ფილმთა	ფილმ თა
სხედან	ს ხე დან
დამახინჯებული	და მა ხინჯ ებულ ი
მამაჩემი	მამა ჩე მი
გადასასვლელი	გადა სა სვლელ ი
რაკი	რაკი
დალასის	და ლას ის
მეფეთა	მეფ ეთა
იჭმება	იჭმ ება
ორგანიზაციებთან	ორგანიზ აც ი ებთან
თვალშისაცემი	თვალ ში სა ცემი
დაბომბვას	და ბომბვ ას
საილენთ	სა ილენ თ
მერქანში	მერქან ში
რეკლამა	რეკლამ ა
მონას	მონა ს
წარსულში	წარ სულ ში
ბატონობა	ბატონ ობა
ველების	ველ ების
მალაქია	მა ლაქ ი ა
თვითმყოფადი	თვითმ ყოფ ად ი
თრდატის	თრდატ ი ს
შტაბში	შტაბ ში
მხედრულში	მხედრ ულში
ჩხეიძეები	ჩხეიძ ეები
რიყისა	რიყ ი სა
ანგელოზები	ა ნგელოზ ები
ათონზე	ათონ ზე
ირიგაციის	ი რიგ აციის
მორწმუნენი	მო რწმუნ ენი
უბრძანა	უ ბრძანა
ეწევა	ე წევა
უღელტეხილის	უღელ ტეხილ ის
გემებისთვის	გემ ების თვის
სულუს	სულ უს
ღვთისმშობლისა	ღვთ ის მშობლ ისა
გაატარებდა	გა ატარებ და
მწერებით	მწერ ებით
სტილისა	სტილ ისა
ცხოველებსა	ცხოველებ სა
შემთხვევების	შე მთხვევ ების
ბროშურა	ბრო შურ ა
ბიზანტიურ	ბიზანტი ურ
შუამდგომლობა	შუა მდგომ ლობა
ფაილი	ფაილ ი
რომელ	რომელ
უნივერსიტეტია	უნივერსიტეტ ია
ფაქტებს	ფაქტ ებს
აჰმად	ა ჰმად
ბორუსია	ბო რუს ია
გერმანიისთვის	გერმან ი ის თვის
ჩეხი	ჩეხ ი
მიიღეს	მიიღ ეს
ინგლისი	ინგლ ის ი
უსწორდებოდნენ	უსწორ დ ებოდნენ
მარადიულ	მა რადი ულ
ნაწყობი	ნა წყობ ი
მოგონებები	მო გონებ ები
ფორუმები	ფორუმ ები
ფირები	ფირ ები
დაყოფილნი	და ყოფილ ნი
დავურეკავ	დავურე კავ
უსვამენ	უსვამ ენ
გადაღებას	გადა ღებ ას
ზეობის	ზე ობის
რასობრივ	რას ობრივ
სავარაუდოა	სა ვარაუდ ო ა
ჰიმბას	ჰიმბა ს
ჩამოყალიბებულიყო	ჩამო ყალიბ ებულ იყო
ქსელებში	ქსელ ებში
მძევლად	მძევლ ად
მერილენდის	მერი ლენდ ის
ტევტობურგის	ტევ ტო ბურგ ის
სისუსტე	სი სუსტ ე
გაერთიანებულია	გა ერთიანებულ ია
ვენაში	ვენ აში
ინერვიულო	ი ნერვიულო
კომპიუტერებისთვის	კომპიუტე რ ების თვის
ფრინველთა	ფრინველ თა
აწმყოს	ა წმყო ს
სინამდვილეს	სინამდ ვილე ს
შიმპანზე	ში მპან ზე
ლონდონში	ლონდონ ში
ვილიამ	ვილი ამ
პერსონაჟია	პერსონა ჟი ა
ბათიაშვილი	ბათი ა შვილ ი
ჩერნოგორიის	ჩერ ნოგორი ის
მუზეუმიდან	მუზე უმ იდან
ჰოლანდიელები	ჰოლანდი ელ ები
თვისებებიც	თვის ებ ებიც
უტარდება	უ ტარ დება
ოცწლიანი	ოც წლიან ი
მათვე	მა თვე
ინახავდნენ	ი ნახავ დნენ
სასაფლაოს	სა სა ფლაო ს
დუმის	დ უმის
ეწია	ეწია
ფლოიდთან	ფლოიდ თან
წარმართებმა	წარმართ ებმა
ანგელოზს	ა ნგელოზ ს
პატიმრობაში	პატიმრ ობაში
საუკეთესოა	სა უკეთ ეს ო ა
ორბელის	ორბელ ის
საგიტარო	სა გიტარ ო
რუფუს	რუ ფუ ს
სასაცილოდ	სა სა ცი ლოდ
ხვდებათ	ხვდებ ათ
საფლავიდან	სა ფლავ იდან
დამსახურებული	დამ სახურ ებულ ი
თარგმანი	თარგმ ანი
პირუტყვი	პირუტყვ ი
მუჰამედის	მუჰა მედი ს
ნომის	ნომი ს
ამყარებს	ამყარ ებს
განისაზღვრებოდა	გა ნის ა ზღვრ ებოდა
საჩუქრები	სა ჩუქრ ები
ტერნერის	ტერნ ერის
მდგომი	მდგომ ი
რევოლუციამ	რევოლუ ციამ
ძეგლთა	ძეგლ თა
კარლაილს	კარლ ა ი ლს
ოლქიდან	ოლქ იდან
ტერაქტი	ტერაქტ ი
სამხრეთაფრიკული	ს ამხრეთ აფრიკ ული
სილვია	სილვ ია
შეუწყვეტია	შეუ წყვეტი ა
ბოლოსწინა	ბოლოსწინა
რამირო	რ ამირო
ჩემპიონატისა	ჩემპიონ ატი სა
კლასზე	კლას ზე
შეკრებილია	შე კრებ ილია
შეიარაღებით	შეი არაღ ებით
ვენესუელის	ვენესუელ ის
ნაშენია	ნა შენ ია
კანონპროექტი	კანონ პროექტ ი
ლიბია	ლიბ ია
მარკესი	მარკ ესი
ცერემონიის	ცერემონი ის
სატელიტური	სა ტელიტ ური
განაპირა	გა ნაპირ ა
ეგვიპტის	ე გვიპტ ის
ძრავას	ძრავ ას
ხსნილი	ხსნილ ი
მოსახლეობაში	მო სახლე ობაში
სააჯო	სა ა ჯო
საღამოებს	საღა მო ებს
სისასტიკე	ს ისა სტიკ ე
ითვლებოდნენ	ითვლ ებოდნენ
შემოქმედება	შემო ქმედ ება
არგოს	არგო ს
კარლო	კარლ ო
მოძიებას	მოძიებ ა ს
წარმომადგენლობა	წარმომადგენ ლობა
ასული	ას ული
სპილენძისა	სპილ ენძ ისა
ანდომებს	ანდო მ ებს
თავადთა	თავად თა
მაგალითებს	მაგალით ებს
ფილტრაციის	ფილტრ აციის
არტიკლი	არტიკლ ი
მინარეთი	მი ნარ ეთი
თავდაუზოგავად	თავდა უ ზოგ ავად
ყოვლისა	ყოვლ ის ა
ლიმფურ	ლიმფ ურ
ბუშტები	ბუშ ტები
საფრენ	სა ფრენ
მეჰერ	მე ჰერ
გაეცნო	გა ეცნო
სარდაფში	ს არდაფ ში
პირთა	პირ თა
რსფსრ	რ სფსრ
მყინვარული	მყინვარ ული
ნეშტი	ნეშტი
რაიჰოლტისა	რაიჰოლტ ისა
თარიღთან	თარიღ თან
კონფედერაცია	კონ ფედერაც ია
კოდექსები	კოდექ ს ები
მანუჩარ	მა ნუჩარ
ლაშქრობა	ლაშქრ ობა
რესპუბლიკელები	რეს პუბლიკ ელ ები
ციფრით	ციფრ ით
კოლექტივიზაცია	კოლე ქტივ იზაცია
მოვლას	მო ვლა ს
დედინაცვალი	დედ ი ნაცვალი
მედიტაციის	მედი ტაცი ის
საქვეყნო	სა ქვეყნ ო
ცივ	ცივ
ტურნირებში	ტურნირებ ში
ტყვიების	ტყვი ების
ზეიმი	ზე ი მი
არქიტექტორი	ა რქიტექტორ ი
განგებით	გან გ ებით
ნაწლავების	ნაწლავ ების
სატელეფონო	სა ტელეფონ ო
ზემო	ზე მო
კირილური	კირილ ური
ჩაუდგნენ	ჩაუ დგნენ
გადმოასვენეს	გადმო ა სვენ ეს
სახოტბო	სა ხოტ ბო
ეპიზოდური	ე პიზოდ ური
ჟევოდანის	ჟევოდ ანის
დაანება	და ა ნება
მგალობლიშვილი	მგალობ ლ იშვილი
ებრძოდნენ	ებრძ ოდნენ
ვაზა	ვაზ ა
ხერხდება	ხერხ დება
პიქტების	პიქტ ების
ელემენტებად	ელემენტ ებად
სათვალავში	სა თვალ ავ ში
ენდ	ენდ
სასმელის	სასმელ ის
ასოციაციამ	ასოცი აცია მ
ამგვარი	ა მგვარი
არსებულა	არს ებულ ა
დიქტატორის	დიქტ ატორი ს
ბარნოვი	ბარ ნოვი
თეატრების	თეატრ ების
კომიკურ	კომ იკურ
ლიტვის	ლიტვ ის
